word	rt.g1.n	rt.g1.m	rt.g1.se	rt.g2.n	rt.g2.m	rt.g2.se	rt.g3.n	rt.g3.m	rt.g3.se	rt.g4.n	rt.g4.m	rt.g4.se	rt.g6.n	rt.g6.m	rt.g6.se	rt.ya.n	rt.ya.m	rt.ya.se	rt.oa.n	rt.oa.m	rt.oa.se
Fantasie	NA	NA	NA	18	2327	224	15	1539	136	19	1131	87	28	825	48	21	615	30	19	767	36
Farbe	15	3174	315	20	1807	169	18	1252	105	23	991	72	29	669	38	22	541	26	20	652	30
Fasching	NA	NA	NA	22	2147	196	13	1280	118	17	1243	99	20	960	61	17	637	33	20	739	34
fassen	NA	NA	NA	13	1590	167	16	1525	132	16	1248	101	25	779	47	21	571	28	20	691	32
fast	NA	NA	NA	18	1698	164	20	1296	105	20	1058	80	27	832	49	20	573	28	20	652	30
faul	NA	NA	NA	17	1721	168	20	1136	92	16	940	76	27	709	41	21	583	29	20	666	31
Faust	18	3266	310	19	1734	165	15	1352	119	21	998	75	26	803	47	19	572	29	18	703	33
Februar	NA	NA	NA	18	2000	193	19	1193	98	21	1136	85	30	856	49	22	541	26	19	685	32
Feder	17	3396	327	15	1819	184	19	1291	106	17	1013	81	28	793	46	21	580	28	21	723	33
Fee	17	2237	215	20	1500	140	18	1024	86	19	895	69	29	735	42	17	606	31	20	726	33
fegen	NA	NA	NA	22	2219	203	15	1291	114	18	1133	89	26	879	52	15	616	33	19	739	34
fehlen	NA	NA	NA	18	2158	208	21	1501	120	20	1037	79	25	739	44	20	560	28	19	690	32
Fehler	7	2867	346	15	1826	185	20	1272	103	17	965	77	28	709	41	21	560	27	20	667	31
feiern	NA	NA	NA	18	1797	173	21	1423	113	17	1221	97	25	774	46	21	558	27	21	692	31
fein	NA	NA	NA	17	1568	153	22	1181	93	21	1156	87	26	830	49	22	611	30	19	684	32
Feind	NA	NA	NA	13	2117	223	18	1298	109	21	1000	75	26	775	46	17	513	27	21	672	30
Feld	17	3167	305	22	1624	148	21	1081	87	22	981	72	29	746	43	22	514	25	20	624	29
Fell	10	2974	328	21	1371	127	19	1112	92	21	985	74	26	687	41	18	587	30	20	692	32
Fenster	NA	NA	NA	17	1648	161	20	1260	102	23	1028	75	30	713	40	22	574	28	19	672	31
Ferien	NA	NA	NA	13	2244	236	19	1430	118	22	1140	84	28	782	45	21	614	30	20	730	34
fernsehen	NA	NA	NA	15	2017	204	20	1459	119	22	1089	80	26	793	47	19	627	32	21	725	33
fest	NA	NA	NA	23	1431	129	17	1251	106	17	859	68	28	704	41	19	573	29	20	660	30
Festung	12	3588	378	16	2664	265	17	1648	140	19	1226	94	25	864	52	21	589	29	20	700	32
Feuer	16	3030	296	23	1578	143	18	1054	88	23	922	67	29	726	42	21	533	26	19	646	30
Figur	14	3313	335	14	1818	187	21	1403	112	19	1013	78	28	731	42	21	559	27	20	665	31
Film	17	2670	257	19	1741	165	21	1206	97	22	956	71	27	675	39	21	540	26	19	666	31
finden	NA	NA	NA	21	1674	155	20	1177	96	18	920	72	27	716	42	21	560	27	21	649	29
Finger	11	3325	358	17	1716	168	20	1178	96	20	1069	81	27	690	40	20	538	27	21	646	29
Fisch	19	2473	231	22	1380	126	21	1094	88	21	815	61	28	668	39	21	541	27	20	634	29
Fischer	15	3297	328	17	1843	180	20	1215	98	17	1012	81	26	723	43	21	583	29	20	660	30
Flamingo	NA	NA	NA	16	2458	244	15	1536	135	21	1301	97	24	1000	60	15	651	35	19	749	35
Flasche	17	3349	322	20	1969	184	19	1242	102	18	933	73	30	726	41	21	548	27	20	669	31
Fleck	10	2869	316	17	1697	166	21	1218	97	16	885	72	26	730	43	21	589	29	20	648	30
Fleisch	13	3100	320	21	1752	162	22	1213	96	18	999	78	27	703	41	19	541	27	20	629	29
Fleiß	NA	NA	NA	12	2077	223	13	1514	139	21	1112	83	27	829	48	20	558	28	21	657	30
Fliege	15	3549	353	22	1925	176	21	1294	104	18	980	77	29	736	42	22	550	27	20	652	30
fliegen	NA	NA	NA	22	2083	190	20	1261	102	21	999	75	31	747	42	22	547	26	20	654	30
fliehen	NA	NA	NA	15	2377	240	17	1648	140	15	1088	90	28	840	49	19	558	28	21	668	30
fließen	NA	NA	NA	16	2215	220	22	1520	120	18	1067	84	26	790	47	21	577	28	21	668	30
