subject	condition	task	word	category	accuracy	raw_rt	log10_rt
11	pIPL	S	Rassel	SA	1	887.0	2.9479236198317262	
11	pIPL	S	Flinte	SA	1	757.0	2.8790958795000727	
11	pIPL	S	Bach	S_	1	2080.0	3.3180633349627615	
11	pIPL	S	Tanne	__	1	700.0	2.845098040014257	
11	pIPL	S	Löffel	_A	1	663.0	2.821513528404773	
11	pIPL	S	Geläut	S_	1	734.0	2.8656960599160706	
11	pIPL	S	Schabe	__	1	1633.0	3.212986184736668	
11	pIPL	S	Schaf	S_	1	840.0	2.9242792860618816	
11	pIPL	S	Auster	__	1	671.0	2.826722520168992	
11	pIPL	A	Mast	__	1	1018.0	3.00774777800074	
11	pIPL	A	Flyer	_A	1	1254.0	3.0982975364946976	
11	pIPL	A	Gitarre	SA	1	655.0	2.816241299991783	
11	pIPL	A	Spinne	__	1	1241.0	3.09377178149873	
11	pIPL	A	Perücke	_A	1	856.0	2.932473764677153	
11	pIPL	A	Turbine	S_	0	1692.0	3.228400358703005	
11	pIPL	A	Spatz	S_	1	1645.0	3.216165902285993	
11	pIPL	A	Balken	__	1	1695.0	3.229169702539101	
11	pIPL	A	Pinsel	_A	1	887.0	2.9479236198317262	
11	pIPL	A	Trompete	SA	1	636.0	2.803457115648414	
11	pIPL	A	Frisbee	_A	1	732.0	2.864511081058392	
11	pIPL	A	Kröte	S_	1	863.0	2.9360107957152097	
11	pIPL	A	Serviette	_A	1	828.0	2.9180303367848803	
11	pIPL	A	Gewehr	SA	1	621.0	2.79309160017658	
11	pIPL	A	Auster	__	0	1165.0	3.0663259253620376	
11	pIPL	A	Schabe	__	1	1083.0	3.0346284566253203	
11	pIPL	A	Lanze	_A	1	1459.0	3.1640552918934515	
11	pIPL	A	Nelke	__	0	1440.0	3.1583624920952498	
11	pIPL	A	Propeller	S_	1	1132.0	3.0538464268522527	
11	pIPL	A	Floh	__	1	1149.0	3.060320028688285	
11	pIPL	A	Abbildung	__	0	1614.0	3.2079035303860515	
11	pIPL	A	Keyboard	SA	1	668.0	2.824776462475546	
11	pIPL	A	Gazelle	__	1	777.0	2.890421018800914	
11	pIPL	A	Posaune	SA	1	584.0	2.7664128471123997	
11	pIPL	A	Kanone	SA	1	602.0	2.7795964912578244	
11	pIPL	A	Pferd	SA	1	579.0	2.762678563727436	
11	pIPL	A	Lüftung	S_	1	1056.0	3.0236639181977933	
11	pIPL	A	Mikrofon	SA	1	622.0	2.7937903846908188	
11	pIPL	A	Tornado	S_	1	1297.0	3.11293997608408	
11	pIPL	A	Baby	SA	1	700.0	2.845098040014257	
11	pIPL	A	Kuchen	_A	1	854.0	2.931457870689005	
11	pIPL	A	Plakette	__	0	1209.0	3.0824263008607717	
11	pIPL	A	Maske	_A	1	819.0	2.9132839017604186	
11	pIPL	A	Flöte	SA	1	604.0	2.7810369386211318	
11	pIPL	A	Harfe	SA	1	595.0	2.7745169657285498	
11	pIPL	A	Ferkel	S_	0	786.0	2.895422546039408	
11	pIPL	A	Wasserfall	S_	1	1156.0	3.0629578340845103	
11	pIPL	A	Käfer	__	1	843.0	2.9258275746247424	
11	pIPL	A	Ananas	_A	1	1674.0	3.2237554536572413	
11	pIPL	A	Zwetschge	_A	1	819.0	2.9132839017604186	
11	pIPL	A	Tablett	_A	1	1785.0	3.251638220448212	
11	pIPL	A	Fön	SA	1	686.0	2.8363241157067516	
11	pIPL	A	Amsel	S_	0	645.0	2.8095597146352675	
11	pIPL	A	Gecko	__	1	1000.0	3.0	
11	pIPL	A	Bach	S_	1	874.0	2.941511432634403	
11	pIPL	A	Seil	_A	1	1046.0	3.0195316845312554	
11	pIPL	A	Höhle	__	0	734.0	2.8656960599160706	
11	pIPL	A	Nachtigall	S_	1	1156.0	3.0629578340845103	
11	pIPL	A	Krähe	S_	1	1334.0	3.12515582958053	
11	pIPL	A	Lawine	S_	1	1512.0	3.1795517911651876	
11	pIPL	A	Zwiebel	_A	1	1280.0	3.1072099696478683	
11	pIPL	A	Xylophon	SA	1	1030.0	3.012837224705172	
11	pIPL	A	Gong	SA	1	1037.0	3.015778756389041	
11	pIPL	A	Wellensittich	S_	0	1653.0	3.2182728535714475	
11	pIPL	A	Pfeiler	__	1	1766.0	3.24699069924155	
11	pIPL	A	Kajak	_A	1	1281.0	3.1075491297446862	
11	pIPL	A	Giraffe	__	1	905.0	2.9566485792052033	
11	pIPL	A	Bohrer	SA	1	999.0	2.9995654882259823	
11	pIPL	A	Kleber	_A	1	892.0	2.950364854376123	
11	pIPL	A	Rassel	SA	1	993.0	2.996949248495381	
11	pIPL	A	Geläut	S_	1	1940.0	3.287801729930226	
11	pIPL	A	Henne	S_	1	1064.0	3.0269416279590295	
11	pIPL	A	Tandem	_A	1	1420.0	3.1522883443830563	
11	pIPL	A	Telefon	SA	1	1136.0	3.055378331375	
11	pIPL	A	Tanne	__	1	1405.0	3.1476763242410986	
11	pIPL	A	Satellit	__	1	1091.0	3.037824750588342	
11	pIPL	A	Piranha	__	1	851.0	2.929929560084588	
11	pIPL	A	Pullover	_A	1	848.0	2.9283958522567137	
11	pIPL	A	Drossel	S_	1	826.0	2.9169800473203824	
11	pIPL	A	Ukulele	SA	1	814.0	2.910624404889201	
11	pIPL	A	Zigarette	_A	1	765.0	2.8836614351536176	
11	pIPL	A	Krawatte	_A	1	1387.0	3.1420764610732848	
11	pIPL	A	Salamander	__	1	757.0	2.8790958795000727	
11	pIPL	A	Waffel	_A	1	1317.0	3.119585774961784	
11	pIPL	A	Seife	_A	1	970.0	2.9867717342662448	
11	pIPL	A	Ente	S_	1	821.0	2.9143431571194407	
11	pIPL	A	Alge	__	1	774.0	2.8887409606828927	
11	pIPL	A	Hornisse	S_	1	1098.0	3.040602340114073	
11	pIPL	A	Schraube	_A	1	985.0	2.9934362304976116	
11	pIPL	A	Schlagzeug	SA	1	882.0	2.94546858513182	
11	pIPL	A	Specht	S_	1	831.0	2.919601023784111	
11	pIPL	A	Elefant	S_	1	843.0	2.9258275746247424	
11	pIPL	A	Cembalo	SA	1	797.0	2.9014583213961123	
11	pIPL	A	Skorpion	__	1	933.0	2.9698816437465	
11	pIPL	A	Knopf	_A	0	2026.0	3.3066394410242617	
11	pIPL	A	Moped	SA	1	863.0	2.9360107957152097	
11	pIPL	A	Flinte	SA	1	740.0	2.8692317197309762	
11	pIPL	A	Sirene	S_	1	1915.0	3.2821687783046416	
11	pIPL	A	Löffel	_A	1	839.0	2.9237619608287004	
11	pIPL	A	Dach	__	1	1529.0	3.1844074854123203	
11	pIPL	A	Biber	__	1	815.0	2.9111576087399764	
11	pIPL	A	Margerite	__	1	1952.0	3.290479813330673	
11	pIPL	A	Peitsche	SA	1	927.0	2.967079734144497	
11	pIPL	A	Häcksler	SA	1	1125.0	3.0511525224473814	
11	pIPL	A	Geröll	S_	1	1029.0	3.012415374762433	
11	pIPL	A	Qualle	__	1	808.0	2.907411360774586	
11	pIPL	A	Kontrabass	SA	1	696.0	2.842609239610562	
11	pIPL	A	Eule	S_	1	812.0	2.9095560292411755	
11	pIPL	A	Kamm	_A	1	922.0	2.9647309210536292	
11	pIPL	A	Cello	SA	1	774.0	2.8887409606828927	
11	pIPL	A	Zange	_A	1	915.0	2.9614210940664485	
11	pIPL	A	Pavian	S_	1	912.0	2.959994838328416	
11	pIPL	A	Raupe	__	1	1262.0	3.1010593549081156	
11	pIPL	A	Schaf	S_	1	766.0	2.884228769632604	
1	sham	A	Hummel	S_	1	1018.0	3.00774777800074	
1	sham	A	Auto	SA	1	835.0	2.921686475483602	
1	sham	A	Tröte	SA	1	807.0	2.90687353472207	
1	sham	A	Marionette	_A	1	1071.0	3.029789470831856	
1	sham	A	Marder	__	1	922.0	2.9647309210536292	
1	sham	A	Triangel	SA	1	757.0	2.8790958795000727	
1	sham	A	Elch	S_	1	833.0	2.9206450014067875	
1	sham	A	Granate	SA	1	781.0	2.8926510338773004	
1	sham	A	Banane	_A	1	1348.0	3.129689892199301	
1	sham	A	Denkmal	__	1	1468.0	3.166726055580052	
1	sham	A	Eiche	__	1	1065.0	3.0273496077747564	
1	sham	A	Bumerang	_A	1	828.0	2.9180303367848803	
1	sham	A	Kartoffel	_A	1	1198.0	3.0784568180532927	
1	sham	A	Taube	S_	1	1087.0	3.0362295440862948	
1	sham	A	Fluss	S_	1	920.0	2.963787827345555	
1	sham	A	Mango	_A	0	1159.0	3.064083435963596	
1	sham	A	Akkordeon	SA	1	713.0	2.8530895298518657	
1	sham	A	Klarinette	SA	1	802.0	2.9041743682841634	
