Subject	Age	Gender	Scolarity	Handedness	Session	Stimulus_Type	Ita_Word	Eng_Word	Accuracy	RTs
1	22	male	16	right	1	Word	UMILIARE	humiliate	1	601
1	22	male	16	right	1	Word	BALCONE	balcony	1	673
1	22	male	16	right	1	Pseudoword	TOTE		1	769
1	22	male	16	right	1	Word	STAMPELLA	crutch	1	729
1	22	male	16	right	1	Pseudoword	VISAO		1	679
1	22	male	16	right	1	Word	SICURO	safe	1	539
1	22	male	16	right	1	Pseudoword	INASO		1	618
1	22	male	16	right	1	Word	ISPIRARE	inspire	1	630
1	22	male	16	right	1	Word	FUNGO	mushroom	1	659
1	22	male	16	right	1	Word	COLONNA	column	1	663
1	22	male	16	right	1	Pseudoword	BAVRETTOSI		1	1124
1	22	male	16	right	1	Word	APE	bees	1	540
1	22	male	16	right	1	Word	MINACCIA	menace	1	491
1	22	male	16	right	1	Word	SVESTITO	naked	1	730
1	22	male	16	right	1	Word	PAZZO	insane	1	1017
1	22	male	16	right	1	Pseudoword	MASITISO		0	443
1	22	male	16	right	1	Word	SUICIDIO	suicide	1	603
1	22	male	16	right	1	Word	NEGLIGENZA	neglect	1	983
1	22	male	16	right	1	Word	MORBIDO	soft	1	551
1	22	male	16	right	1	Word	STRESSATO	distressed	1	589
1	22	male	16	right	1	Word	PENTITO	repentant	1	666
1	22	male	16	right	1	Word	LIBERAZIONE	liberty	1	686
1	22	male	16	right	1	Word	TRAGEDIA	tragedy	1	1045
1	22	male	16	right	1	Pseudoword	CASTASSO		1	720
1	22	male	16	right	1	Pseudoword	MOCCA		1	649
1	22	male	16	right	1	Pseudoword	PALTE		1	650
1	22	male	16	right	1	Word	ULIVO	olive_tree	1	1473
1	22	male	16	right	1	Pseudoword	GACCANO		1	718
1	22	male	16	right	1	Word	IRA	rage	1	635
1	22	male	16	right	1	Word	TENNIS	tennis	1	506
1	22	male	16	right	1	Word	SALVATORE	savior	1	568
1	22	male	16	right	1	Pseudoword	VICIVI		1	686
1	22	male	16	right	1	Pseudoword	POLETAIMMO		1	887
1	22	male	16	right	1	Pseudoword	TENI		1	855
1	22	male	16	right	1	Pseudoword	SPARNERO		1	886
1	22	male	16	right	1	Pseudoword	AMBIRI		1	893
1	22	male	16	right	1	Pseudoword	IMMOSSIOVORE		1	701
1	22	male	16	right	1	Word	AUDACE	bold	1	681
1	22	male	16	right	1	Word	CESTO	basket	1	964
1	22	male	16	right	1	Word	TAPPETO	carpet	1	586
1	22	male	16	right	1	Pseudoword	IMALE		1	752
1	22	male	16	right	1	Pseudoword	PLENOZENA		1	700
1	22	male	16	right	1	Word	SCULACCIATA	spanking	1	893
1	22	male	16	right	1	Pseudoword	ZOMPRERA		1	763
1	22	male	16	right	1	Word	PRETE	priest	1	594
1	22	male	16	right	1	Pseudoword	MAVINCHI		1	560
1	22	male	16	right	1	Pseudoword	VUEPO		1	666
1	22	male	16	right	1	Word	PECCAMINOSO	sinful	1	878
1	22	male	16	right	1	Pseudoword	BRAGALI		1	645
1	22	male	16	right	1	Word	FORCINA	hairpin	1	692
1	22	male	16	right	1	Pseudoword	OCATENNA		1	979
1	22	male	16	right	1	Pseudoword	STIBBATO		1	699
1	22	male	16	right	1	Pseudoword	GHEMA		1	528
1	22	male	16	right	1	Word	MARTELLO	hammer	1	628
1	22	male	16	right	1	Word	ESULTANTE	elated	1	594
1	22	male	16	right	1	Word	FAMA	fame	1	548
1	22	male	16	right	1	Pseudoword	SIURI		1	902
1	22	male	16	right	1	Pseudoword	IFFETENFONO		1	1058
1	22	male	16	right	1	Pseudoword	VULADO		1	991
1	22	male	16	right	1	Pseudoword	SGANGE		1	676
1	22	male	16	right	1	Word	LAMENTELA	gripe	1	952
1	22	male	16	right	1	Pseudoword	DAINE		1	1218
1	22	male	16	right	1	Word	CAMICIA	shirt	1	1149
1	22	male	16	right	1	Pseudoword	GANACI		1	833
1	22	male	16	right	1	Pseudoword	ORACO		1	1023
1	22	male	16	right	1	Pseudoword	ITTRA		1	618
1	22	male	16	right	1	Word	DIPENDENTE	addicted	0	902
1	22	male	16	right	1	Pseudoword	ANANGA		1	780
1	22	male	16	right	1	Pseudoword	DIMACO		1	532
1	22	male	16	right	1	Pseudoword	CALUSSONE		1	1190
1	22	male	16	right	1	Pseudoword	BALTINI		1	584
1	22	male	16	right	1	Word	SCOLAPASTA	colander	1	729
1	22	male	16	right	1	Pseudoword	VEVVIE		1	652
1	22	male	16	right	1	Word	PENA	pain	1	993
1	22	male	16	right	1	Pseudoword	FAMPI		1	620
1	22	male	16	right	1	Pseudoword	SAULOTINZALE		1	900
1	22	male	16	right	1	Pseudoword	SCEA		1	933
1	22	male	16	right	1	Word	MESE	month	1	703
1	22	male	16	right	1	Word	GATTO	cat	1	644
1	22	male	16	right	1	Word	TIGRE	tiger	1	660
1	22	male	16	right	1	Pseudoword	BIBESI		1	616
1	22	male	16	right	1	Word	FETIDO	foul	1	791
1	22	male	16	right	1	Word	MENDICANTE	beggar	1	688
1	22	male	16	right	1	Pseudoword	CONSORPETORI		1	840
1	22	male	16	right	1	Pseudoword	TORTUTIORO		1	1271
1	22	male	16	right	1	Pseudoword	STALITO		1	727
1	22	male	16	right	1	Pseudoword	ADDRENDOTTA		1	823
1	22	male	16	right	1	Word	PROFITTO	profit	1	783
1	22	male	16	right	1	Pseudoword	CONGIGGUALE		1	944
1	22	male	16	right	1	Word	PELLICCIA	fur	1	941
1	22	male	16	right	1	Pseudoword	IZI		1	669
1	22	male	16	right	1	Pseudoword	ORGO		1	1177
1	22	male	16	right	1	Pseudoword	TADILE		1	663
1	22	male	16	right	1	Word	FASE	phase	1	693
1	22	male	16	right	1	Word	FASTIDIO	nuisance	1	575
1	22	male	16	right	1	Pseudoword	TOVARTALE		1	720
1	22	male	16	right	1	Pseudoword	CARROCI		1	576
1	22	male	16	right	1	Word	SCIOCCO	silly	1	639
1	22	male	16	right	1	Pseudoword	GECITO		1	627
1	22	male	16	right	1	Pseudoword	FENGO		1	618
1	22	male	16	right	1	Pseudoword	TITARCAVO		1	666
1	22	male	16	right	1	Word	BUGIA	lie	1	800
1	22	male	16	right	1	Word	AEREO	plane	1	839
1	22	male	16	right	1	Pseudoword	MINSATE		1	1384
1	22	male	16	right	1	Pseudoword	EBLITA		1	805
1	22	male	16	right	1	Word	STAGNANTE	stagnant	1	1414
1	22	male	16	right	1	Pseudoword	FIDARI		0	0
1	22	male	16	right	1	Word	ORDINATO	tidy	1	751
1	22	male	16	right	1	Word	VESTITO	clothing	1	530
1	22	male	16	right	1	Word	MARCIO	rotten	1	526
1	22	male	16	right	1	Pseudoword	SUTASSE		1	667
1	22	male	16	right	1	Word	NETTARE	nectar	1	733
1	22	male	16	right	1	Word	FESTA	party	1	600
1	22	male	16	right	1	Word	COPPIA	couple	1	604
1	22	male	16	right	1	Word	TESORO	treasure	1	448
1	22	male	16	right	1	Pseudoword	FERGATO		0	526
1	22	male	16	right	1	Pseudoword	TEMIPISCE		1	805
1	22	male	16	right	1	Pseudoword	TERDO		1	697
1	22	male	16	right	1	Word	STORIA	history	1	601
1	22	male	16	right	1	Pseudoword	TISTASSI		1	554
1	22	male	16	right	1	Word	ATTREZZO	tool	1	743
1	22	male	16	right	1	Pseudoword	SETAMMA		1	630
1	22	male	16	right	1	Word	SCHIVO	shy	1	827
1	22	male	16	right	1	Word	SANTO	saint	1	609
1	22	male	16	right	1	Word	PRECIPIZIO	cliff	1	661
1	22	male	16	right	1	Word	CANCRENA	gangrene	1	701
1	22	male	16	right	1	Pseudoword	OCURDIO		1	1572
1	22	male	16	right	1	Pseudoword	ANDUCO		1	659
1	22	male	16	right	1	Word	COCCOLARE	cuddle	1	657
1	22	male	16	right	1	Word	SENTIMENTO	sentiment	1	605
1	22	male	16	right	1	Pseudoword	BASUDONA		1	1195
1	22	male	16	right	1	Word	AVVERSIONE	hatred	1	810
1	22	male	16	right	1	Word	DEMONIO	demon	1	538
1	22	male	16	right	1	Word	CATTIVO	evil	1	527
1	22	male	16	right	1	Pseudoword	ILALARIVO		1	1014
1	22	male	16	right	1	Word	ISPIRATO	inspired	1	648
1	22	male	16	right	1	Word	MOTORE	engine	1	582
1	22	male	16	right	1	Pseudoword	TUGGINELLA		1	611
1	22	male	16	right	1	Word	VESCICA	blister	1	890
1	22	male	16	right	1	Pseudoword	FINGANDO		1	610
1	22	male	16	right	1	Pseudoword	CONDORCO		1	838
1	22	male	16	right	1	Word	BAR	bar	1	605
1	22	male	16	right	1	Word	INCIDENTE	accident	1	493
1	22	male	16	right	1	Pseudoword	MIURDALE		1	704
1	22	male	16	right	1	Pseudoword	RAMPO		1	643
1	22	male	16	right	1	Pseudoword	BREMENDO		1	508
1	22	male	16	right	1	Pseudoword	CENCO		1	614
1	22	male	16	right	1	Pseudoword	AFFENE		1	644
1	22	male	16	right	1	Pseudoword	PROMPABOCO		1	804
1	22	male	16	right	1	Pseudoword	PRECIDARE		1	969
1	22	male	16	right	1	Word	ELEGANTE	elegant	1	670
1	22	male	16	right	1	Word	STRANO	odd	1	598
1	22	male	16	right	1	Pseudoword	GENISA		1	578
1	22	male	16	right	1	Pseudoword	BARVENI		1	664
1	22	male	16	right	1	Word	CICATRICE	scar	1	679
1	22	male	16	right	1	Pseudoword	GLOSO		1	616
